~~~Start of file~~~
Timestamp: 2020-04-13 00:15:01.346544

Timestamp: 2020-04-13 00:20:02.145172

Timestamp: 2020-04-13 00:25:01.998995

Timestamp: 2020-04-13 00:30:01.818230

Timestamp: 2020-04-13 00:35:01.537256

Timestamp: 2020-04-13 00:40:01.249707

Timestamp: 2020-04-13 00:45:01.991994

Timestamp: 2020-04-13 00:50:01.714872

Timestamp: 2020-04-13 00:55:01.620789

Timestamp: 2020-04-13 01:00:01.364846

Timestamp: 2020-04-13 01:05:02.159380

Timestamp: 2020-04-13 01:10:01.908412

Timestamp: 2020-04-13 01:15:01.696861

Timestamp: 2020-04-13 01:20:01.612932

Timestamp: 2020-04-13 01:25:01.392277

Timestamp: 2020-04-13 01:30:01.167986

Timestamp: 2020-04-13 01:35:01.983316

Timestamp: 2020-04-13 01:40:01.676934

Timestamp: 2020-04-13 01:45:01.597609

Timestamp: 2020-04-13 01:50:01.339566

Timestamp: 2020-04-13 01:55:02.096271

Timestamp: 2020-04-13 02:00:01.859196

Timestamp: 2020-04-13 02:05:01.315221

Timestamp: 2020-04-13 02:10:02.042043

Timestamp: 2020-04-13 02:15:01.744501

Timestamp: 2020-04-13 02:20:01.571404

Timestamp: 2020-04-13 02:25:01.394503

Timestamp: 2020-04-13 02:30:01.143258

Timestamp: 2020-04-13 02:35:01.189533

Timestamp: 2020-04-13 02:40:01.894858

Timestamp: 2020-04-13 02:45:02.103000

Timestamp: 2020-04-13 02:50:01.834659

Timestamp: 2020-04-13 02:55:01.555644

Timestamp: 2020-04-13 03:00:01.257064

Timestamp: 2020-04-13 03:05:02.030339

Timestamp: 2020-04-13 03:10:01.751612

Timestamp: 2020-04-13 03:15:01.409127

Timestamp: 2020-04-13 03:20:02.125347

Timestamp: 2020-04-13 03:25:01.880105

Timestamp: 2020-04-13 03:30:01.728506

Timestamp: 2020-04-13 03:35:01.530545

Timestamp: 2020-04-13 03:40:01.913461

Timestamp: 2020-04-13 03:45:01.611022

Timestamp: 2020-04-13 03:50:01.356233

Timestamp: 2020-04-13 03:55:02.112528

Timestamp: 2020-04-13 04:00:01.966901

Timestamp: 2020-04-13 04:05:01.609710

Timestamp: 2020-04-13 04:10:01.941362

Timestamp: 2020-04-13 04:15:01.820008

Timestamp: 2020-04-13 04:20:01.374884

Timestamp: 2020-04-13 04:25:01.178082

Timestamp: 2020-04-13 04:30:01.985117

Timestamp: 2020-04-13 04:35:01.841133

Timestamp: 2020-04-13 04:40:01.529098

Timestamp: 2020-04-13 04:45:01.264066

Timestamp: 2020-04-13 04:50:01.915042

Timestamp: 2020-04-13 04:55:01.501141

Timestamp: 2020-04-13 05:00:01.734176

Timestamp: 2020-04-13 05:05:01.499388

Timestamp: 2020-04-13 05:10:01.512983

Timestamp: 2020-04-13 05:15:01.269447

Timestamp: 2020-04-13 05:20:02.106556

Timestamp: 2020-04-13 05:25:01.814895

Timestamp: 2020-04-13 05:30:01.525703

